NOMBRE*;TIPO;ESTILO;GRADO;IBU;LANZAMIENTO;ESTADO;PAÍS;URL;PRODUCTOR
Lancaster Bomber;Pale Ale;Extra Special/Strong Bitter (ESB);4,40;;;Activa;Inglaterra;www.lancasterbomberale.co.uk;Marston's Brewery
Ambar 1900;Pale Ale;English Pale Ale;4,80;20;1996;Activa;España;;Cervezas Ambar
Alhambra Especial;Pale Lager;European Pale Lager;5,00;17;1996;Activa;España;;Cervezas Alhambra
Grimbergen Belgian Pale Ale;Pale Ale;Belgian Pale Ale;5,50;22;;Activa;Bélgica;www.grimbergenbeer.com;Alken-Maes
The Brale;Brown Ale;American Brown Ale;5,00;30;;Activa;Alemania;;BraufactuM
San Miguel Magna;Pale Ale;American Blonde Ale;5,70;;2019;Activa;España;;San Miguel
Desperados Ginger;Specialty Beer;Herb and Spice Beer;5,00;;;Activa;Francia;www.desperados.com;Brasserie Fischer
Especialidades 1897 Trigo;Wheat Beer;Hefeweizen;5,30;;;Activa;España;;Mercadona
Camaro;Pale Lager;American Adjunt Lager;4,60;18;;Activa;Lituania;;Lidl
Ambar Export;Pale Lager;European Strong Lager;7,40;;1980;Activa;España;;Cervezas Ambar
La Sagra Calabaza y Canela;Specialty Beer;Pumpkin Beer;5,20;11;2014;Retirada;España;;La Sagra
Carlsberg;Pale Lager;European Pale Lager;5,00;8;1847;Activa;Dinamarca;;Carlsberg Group
Alhambra Reserva Esencia Citra IPA;Indian Pale Ale;American IPA;6,50;35;2008;Activa;España;;Cervezas Alhambra
Blanche De Charleroi;Wheat Beer;Witbier;5,00;;;Activa;Bélgica;;Brasserie Val De Sambre
Te Deum Amber;Brown Ale;Belgian Dark Ale;5,90;;;Activa;Bélgica;;Brasserie Du Bocq
Erdinger Weissbier Dunkel;Wheat Beer;Dunkelweizen;5,30;14;;Activa;Alemania;;Erdinger Weissbräu
Abbaye D'Aulne Blonde;Pale Ale;Belgian Blonde Ale;6,00;20;;Activa;Bélgica;;Brasserie Val De Sambre
Alhambra Baltic Porter;Porter;Baltic Porter;7,80;35;;Activa;España;;Cervezas Alhambra
Grevensteiner Original;Pale Lager;Kellerbier;5,20;23;1926;Activa;Alemania;www.grevensteiner.de;C. & A. Veltins
Budweiser Budvar Original;Pale Lager;Bohemian / Czech Pilsner;5,00;32;1895;Activa;República Checa;;Budejovicky Budvar
