ID;NOMBRE;PAÍS;REGIÓN;CIUDAD;FUNDACIÓN;URL;EMPRESA MATRIZ
141;Perkins;España;Murcia;Molina de Segura;2020;www.perkinsgenuine.com;
142;Brasserie Champigneulles;Francia;Lorena;Champigneulles;1897;brasserie-champigneulles.fr;TCB Beverages
143;Obolon;Ucrania;Óblast de Kiev;Kiev;1980;www.obolon.ua;
144;De Brabandere;Bélgica;Flandes;Bavikhove;1894;www.brouwerijdebrabandere.be;
145;Schnitzer Bräu;Alemania;Baden-Wurtemberg;Offenburg;;www.schnitzer.eu;
146;Liefmans;Bélgica;Flandes;Oudenaarde;1679;www.liefmans.com;Duvel Moortgat
147;Arriaca Cervezas;España;Castilla-La Mancha;Yunquera de Henares;2014;arriaca.es;
148;Gastro Beer Company;España;Castilla-La Mancha;Mota del Cuervo;2014;cervezagastro.com;
149;Brasserie Goudale;Francia;Alta Francia;Arques;1919;brasserie-goudale.com;
150;Baeren Bier;Japón;Iwate;Morioka;2001;www.baerenbier.co.jp;
151;iKi Beer;Países Bajos;Brabante Septentrional;Bolduque;2005;www.ikibeer.com;
152;Jever;Alemania;Baja Sajonia;Jever;1848;www.jever.de;Radeberger Gruppe
153;Brouwerij Westmalle;Bélgica;Provincia de Amberes;Malle;1836;www.trappistwestmalle.be;Abdij van Westmalle
154;Brasserie d'Orval;Bélgica;Provincia de Luxemburgo;Villers-devant-Orval;1931;www.orval.be;
155;Mount St Bernard Abbey;Reino Unido;Inglaterra;Coalville;1835;www.mountsaintbernard.org;
156;Saku Brewery;Estonia;Harju;Saku;1820;saku.ee/et/international;Carlsberg Group
157;Pühaste Brewery;Estonia;Tartu;Pühaste;2016;puhastebeer.com;
158;Martin's;Bélgica;Flandes;Antwerp;1909;;John Martin S.A.
159;La Claudia Italia;España;Comunidad Valenciana;Oliva;2014;www.krdrinks.com;KR Drinks
160;Nómada Brewing;España;Guadalajara;Alovera;2011;www.nomadabrewing.com;Mahou-San Miguel
