ID;CERVEZA;AÑO;COLOR;FABRICANTE;OBTURADOR;INSCRIPCIÓN;ESTADO;REPETIDA;FORMATO;REGISTRO;IMAGEN
307;Ruddles Best;2023;Oro;Unibox;1;P993069 27;Perfecto;NO;50cl;;307_Ruddless_Best_2023.jpg
308;Obolon Svitle;2023;Multicolor;cp;23;23;Perfecto;NO;50cl;;308_Obolon_Svitle_2023.jpg
309;Daura Marzën;2023;Verde;U;10;KC05802 BO 2 24;Regular;SI;33cl;;309_Daura_Marzën_2023.jpg
310;Petrus Blond;2023;Negro;HB;27;11;Regular;SI;33cl;;310_Petrus_Blond_2023.jpg
311;Voll-Damm;2023;Verde;U;10;KC00812 BO 3 9;Bueno;SI;25cl;;311_Voll-Damm_2023.jpg
312;Gulden Draak 9000 Quadruple;2023;Negro;HB;23;6;Regular;SI;33cl;;312_Gulden_Draak_9000_Quadruple_2023.jpg
313;Schnitzer Bräu German Hirse Premium;2023;Oro;RRK;7;23 03 45/20;Bueno;SI;33cl;;313_Schnitzer_Bräu_German_Hirse_Premium_2023.jpg
314;Piraat;2023;Multicolor;HB;43;11;Perfecto;SI;33cl;;314_Piraat_2023.jpg
315;Liefmans Fruitesse On The Rocks;2023;Rojo;cp;47;17;Bueno;SI;25cl;;315_Liefmans_Fruitesse_On_The_Rocks_2023.jpg
316;Er Boquerón;2023;Blanco;U;19;7;Bueno;NO;33cl;;316_Er_Boquerón_2023.jpg
317;San Miguel Gluten Free;2023;Multicolor;U;23;R8769 BO 3 14;Perfecto;NO;33cl;;317_San_Miguel_Gluten_Free_2023.jpg
318;Grevensteiner Naturtrübes Helles;2023;Multicolor;RRK;29;21 25 13/22;Perfecto;NO;50cl;;318_Grevensteiner_Naturtrübes_Helles_2023.jpg
319;Mahou Cinco Estrellas Sin Filtrar;2023;Rojo;U;23;R11453 BO 1 18;Bueno;SI;33cl;;319_Mahou_Cinco_Estrellas_Sin_Filtrar_2023.jpg
320;Estrella de Navidad;2023;Rojo;Unibox;A27;22;Bueno;SI;33cl;;320_Estrella_Galicia_Estrella_Navidad_2023.jpg
321;Rye IPL Centeno;2024;Negro;U;14;3;Bueno;NO;33cl;;321_Arriaca_Centeno_RIPL_2024.jpg
322;The One Celta;2024;Cobre;Sin fabricante;B 23;;Bueno;NO;33cl;;322_The_One_Celta_2024.jpg
323;Gastro IPA Dry Hopping;2024;Negro;U;11;R9363 BO 7;Bueno;NO;33cl;;323_Gastro_IPA_Dry_Hopping_2024.jpg
324;Brewdog Punk IPA;2024;Negro;dap;8;;Bueno;NO;33cl;;324_Brewdog_Punk_IPA_2024.jpg
325;G de Goudale Grand Cru;2024;Negro;cp;70;7;Perfecto;NO;33cl;;325_G_De_Goudale_Grand_Cru_Millésime_2023_2024.jpg
326;Duet;2024;Negro;U;11;KC07200 BO 8;Bueno;NO;33cl;;326_Duet_Damm_2024.jpg
327;Straffe Hendrik Tripel;2024;Verde;HB;44;18;Bueno;SI;33cl;;327_Straffe_Hendrik_Tripel_2024.jpg
328;Baeren Classic;2024;Beige;NCC;15;;Perfecto;NO;33cl;;328_Baeren_Classic_2024.jpg
329;iKi Yuzu;2024;Negro;C.R.;1 0;20;Bueno;NO;33cl;;329_iKi_Yuzu_2024.jpg
330;Jever Pilsener;2024;Oro;RRK;38;4 12 21/28;Perfecto;NO;33cl;;330_Jever_Pilsener_2024.jpg
331;Gordon Finest Gold;2024;Amarillo;HB;44;18;Bueno;NO;33cl;;331_Gordon_Finest_Gold_2024.jpg
332;Chouffe Lite;2024;Verde;dap;19;10 11;Perfecto;NO;33cl;;332_Chouffe_Lite_2024.jpg
333;Lagunitas IPA;2024;Oro;dap;6;5242 4 2;Perfecto;NO;33cl;;333_Lagunitas_IPA_2024.jpg
334;Chimay Triple;2024;Blanco;dap;11;;Bueno;NO;33cl;;334_Chimay_Triple_2024.jpg
335;Westmalle Tripel;2024;Crudo;DKF;40-27;14-21;Bueno;NO;33cl;;335_Westmalle_Tripel_2024.jpg
336;Orval;2024;Plata;DKF;37-29;5-15;Bueno;NO;33cl;;336_Orval_2024.jpg
337;Tynt Meadow;2024;Verde;astir;37;22-5;Bueno;NO;33cl;;337_Tynt_Meadow_2024.jpg
338;Saku Kuld;2024;Oro;cp;18;12;Bueno;NO;33cl;;338_Saku_Kuld_2024.jpg
339;Tartu Hele;2024;Rojo;dap;10;22;Bueno;NO;33cl;;339_Tartu_Hele_2024.jpg
340;Mahou Cinco Estrellas;2014;Rojo;TCI;;26;Bueno;NO;20cl;;340_Mahou_Cinco_Estrellas_Atleti_2014.jpg
341;Mahou Cinco Estrellas;2017;Rojo;U;20;R-7235 23;Bueno;NO;20cl;;341_Mahou_Cinco_Estrellas_Atleti_2017.jpg
342;Madrid Lager;2020;Marrón;U;60;7;Bueno;NO;33cl;;342_La_Virgen_Madrid_Lager_2020.jpg
343;Madrid Lager;2020;Marrón;U;60;7;Bueno;NO;33cl;;343_La_Virgen_Madrid_Lager_2020.jpg
344;Stella Artois;2006;Blanco;Sin fabricante;;1;Regular;NO;33cl;;344_Stella_Artois_2006.jpg
345;Cruzcampo Especial;2006;Rojo;U;9 14;20 32;Bueno;NO;20cl;;345_Cruzcampo_Especial_2006.jpg
346;Trappistes Rochefort 10;2024;Azul;DKF;35-11;8-22;Perfecto;NO;33cl;;346_Trappistes_Rochefort_10_2024.jpg
347;Chimay 150;2024;Verde;dap;28;;Bueno;NO;33cl;;347_Chimay_150_2024.jpg
348;La Bella Lola;2024;Gris;U;15;8;Bueno;NO;33cl;;348_La_Bella_Lola_2024.jpg
349;Gordon Scotch Ale;2024;Multicolor;HB;11;5;Perfecto;NO;33cl;;349_Gordon_Scotch_Ale_2024.jpg
350;Timmermans Strawberry Thyme Lambicus;2024;Rojo;HB;8;19;Perfecto;NO;33cl;;350_Timmermans_Strawberry_Thyme_Lambicus_2024.jpg
351;Timmermans Pêche Lambicus;2024;Amarillo;HB;26;13;Bueno;NO;33cl;;351_Timmermans_Pêche_Lambicus_2024.jpg
352;Martin's IPA 55;2024;Verde;HB;18;15;Bueno;NO;33cl;;352_Martin's_IPA_55_2024.jpg
353;The One Blanche;2024;Blanco;Sin fabricante;2;;Bueno;NO;33cl;;353_The_One_Blanche_2024.jpg
354;The One Blonde;2024;Amarillo;Sin fabricante;5;;Bueno;NO;33cl;;354_The_One_Blonde_2024.jpg
355;The One Pale Ale;2024;Naranja;Sin fabricante;7;;Bueno;NO;33cl;;355_The_One_Pale_Ale_2024.jpg
356;Consentida;2024;Rosa;U;23;17;Perfecto;NO;33cl;;356_Consentida_Pale_Lager_2024.jpg
357;Estrella Galicia 0,0;2024;Multicolor;Unibox;22;23;Regular;NO;25cl;;357_Estrella_Galicia_Sin_2024.jpg
358;Naturepils;2024;Blanco;U;34;R11618 BO 19;Bueno;NO;33cl;;358_Naturepils_2024.jpg
359;Mescalina México;2024;Blanco;U;8;27;Bueno;NO;33cl;;359_Mescalina_México_2024.jpg
360;Tap 6: Mein Aventinus;2024;Oro;RRK;03;1 22 03/22;Bueno;NO;50cl;;360_Schneider_Weisse_Tap_6_Aventinus_2024.jpg
361;The One IPA Americana;2023;Azul;Sin fabricante;7;;Bueno;NO;33cl;;361_The_One_IPA_Americana_2023.jpg
